rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
877,CNP0506673.2,C[C@@H](CNC(=O)C1=CC=C(S(N)(=O)=O)C=C1)CN1C=CC2=CC=CC=C21,0.942040205001831,371.46,2.35,2,4,6,94.19,True,True,3
878,CNP0010774.1,CC1=NOC(C)=C1CN1C=C2C[C@@H](C(=O)NCCN(C)C)N[C@@H](CC(C)C)C3=C2C1=CC=C3,0.942025065422058,451.62,3.57,2,6,8,75.33,True,True,3
879,CNP0332298.1,CCO[C@H]1[C@H](OC)[C@H](C)[C@H](C[C@@H]2C[C@@H](OC)[C@@H](C)[C@]3(O2)O[C@H]([C@H]2O[C@H]([C@H]4CC[C@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)O4)C[C@@H]2O[C@H]2CC[C@H](OC)[C@@H](C)O2)C[C@H]3C)O[C@]1(O)[C@@H](C)C(=O)O,0.9420152306556702,901.14,5.2,3,15,14,188.52,False,False,0
880,CNP0332298.2,CCO[C@H]1[C@@H](OC)[C@H](C)[C@@H](C[C@@H]2C[C@@H](OC)[C@H](C)[C@@]3(O2)O[C@H]([C@@H]2O[C@@H]([C@@H]4CC[C@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)O4)C[C@@H]2O[C@H]2CC[C@@H](OC)[C@@H](C)O2)C[C@@H]3C)O[C@@]1(O)[C@@H](C)C(=O)O,0.9420152306556702,901.14,5.2,3,15,14,188.52,False,False,0
881,CNP0162429.1,COC[C@H]1CCCN1C[C@@H]1OC[C@H](NC(C)=O)[C@H]1O,0.9420015811920166,272.35,-0.64,2,5,5,71.03,True,True,0
882,CNP0309593.2,COC1=CC([C@@H]2OC3=C(O)C=C([C@@H]4CC(=O)C5=C(O)C=C(O)C=C5O4)C=C3[C@H]2CO)=CC=C1O,0.9417856335639954,466.44,3.43,5,9,4,145.91,True,False,3
883,CNP0309593.1,COC1=CC(C2OC3=C(O)C=C([C@@H]4CC(=O)C5=C(O)C=C(O)C=C5O4)C=C3C2CO)=CC=C1O,0.9417856335639954,466.44,3.43,5,9,4,145.91,True,False,3
885,CNP0198661.0,C=CCCCC=CC=C(C)CCCCC=CCCC=CC(=O)NC(CO)CO,0.9416561126708984,389.58,4.77,3,3,17,69.56,True,False,0
886,CNP0187655.1,COC1=CC=C([C@H](CNC(=O)C2=CC=CC=C2)OC)C=C1,0.9416025280952454,285.34,2.81,1,3,6,47.56,True,True,2
887,CNP0187655.2,COC1=CC=C([C@@H](CNC(=O)C2=CC=CC=C2)OC)C=C1,0.9416025280952454,285.34,2.81,1,3,6,47.56,True,True,2
888,CNP0508776.1,N[C@H](CO)CC1CCCCC1,0.9415608048439026,157.26,1.28,2,2,3,46.25,True,True,0
889,CNP0005161.1,CC1=C[C@@H](CNCC2=NC=CN2)[C@H](C(C)C)C[C@H]1CC1=NC2=C(C)C=CC=C2N1,0.9415584802627563,391.56,4.78,3,3,7,69.39,True,True,3
890,CNP0366501.1,CN(CCC1=CC=CC=N1)C[C@H]1CN2CC[C@H]1C[C@@H]2CNS(C)(=O)=O,0.9415059685707092,366.53,0.82,1,5,8,65.54,True,True,1
891,CNP0560494.1,COC(C(=O)O)C1/N=C(\O)C(CCCCN)/N=C(\O)C(CC(=O)O)/N=C(\O)C(C)/N=C(\O)CN(C)C(=O)C(NC(=O)C(NC(=O)C(CCC(=O)O)NC(=O)C(CC2=CNC3=CC=CC=C23)NC(=O)CCCCCCC(C)C)C(O)C(N)=O)[C@H](C)OC(=O)C(C(C)C)/N=C(\O)C(CCC(=O)O)/N=C(/O)C(CC(N)=O)/N=C(/O)C/N=C/1O,0.9414350390434264,1630.73,0.11,21,24,36,730.38,False,False,2
892,CNP0006870.1,C1=CC=C(C2=CN([C@H]3CO[C@H]4[C@@H]3OC[C@@H]4NCC3CCCCC3)N=N2)N=C1,0.9414243698120116,369.47,2.22,1,7,5,74.09,True,True,2
893,CNP0004841.1,CC(C)(C)C1=COC([C@@H]2COCCN2CC2=NC=CN2)=N1,0.9414220452308656,290.37,2.27,1,5,3,67.18,True,True,2
894,CNP0549629.1,CCCCCC(=O)N[C@H](CC(=O)OC)C(=O)N[C@@H]1C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H]2CC[C@@H](OC)N(C2=O)[C@@H](C(C)C)C(=O)N(C)[C@@H](CC2=CC=CC=C2)C(=O)N[C@@H](C(C)C)C(=O)O[C@H]1C,0.9414129853248596,971.17,0.11,8,13,18,309.85,False,False,1
895,CNP0213648.1,CN1C[C@@H]2COCCN2C2(C1)CN(C1CCCC1)C2,0.9413921236991882,265.4,0.63,0,4,1,18.95,True,True,0
896,CNP0092233.1,CCCCC1=C(CO)C=C(CCC2=CC=C(O)C(OC[C@H](NC)C3=CC4=C(CC[C@H]5CCC[C@@H]5[C@@H]4CNC[C@H](C)O)N3)=C2)O1,0.9413299560546876,607.84,5.69,6,7,16,122.91,False,False,3
897,CNP0599801.0,COC1=CC=C2NC=C(CCNC(=O)C3=CC(C)=NC4=C(C5=CC=CC=C5)C=CC=C34)C2=C1,0.9413056373596193,435.53,5.67,2,3,6,67.01,True,True,5
898,CNP0368745.0,O=C(CN1CCCCC1CCO)C1=CNC2=CC=CC=C12,0.9412641525268556,286.38,2.59,2,3,5,56.33,True,True,2
