rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
944,CNP0228260.1,C/C=C1/NC(=O)[C@@H]2CC3=CC=C(O)C(=C3)C3=C(C[C@H](NC(=O)[C@@H](CCC(N)=O)NC(=O)CNC(=O)[C@@H]([C@@H](O)CC(N)=O)NC1=O)C(=O)N[C@@H](C)[C@H](NC(=O)/C(=C\C)NC(=O)[C@@H](O)[C@@H](/C=C/C=C/CCCCCCC)O[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O)C(=O)N[C@H]([C@@H](C)O)C(=O)N2)NC=N3,0.9436362981796264,1365.46,-6.0,20,22,22,565.93,False,False,2
945,CNP0171501.1,C/C=C1/NC(=O)[C@@H]2CC3=CC=C(O)C(=C3)C3=C(C[C@H](NC(=O)[C@@H](CCC(N)=O)NC(=O)CNC(=O)[C@@H]([C@@H](O)CC(N)=O)NC1=O)C(=O)N[C@@H](C)[C@H](NC(=O)/C(=C\C)NC(=O)[C@@H](O)[C@@H](/C=C/C=C/CCCCCC)O[C@H]1OC[C@@H](O)[C@H](O)[C@@H]1O)C(=O)N[C@H]([C@@H](C)O)C(=O)N2)NC=N3,0.9436362981796264,1351.44,-6.39,20,22,21,565.93,False,False,2
946,CNP0566043.1,COCNC1=NC2=C3C(=C1)C#C[C@@H](CCC1=CC=C(O)C(CC4=CC=CC(O)=C4)=C1)CC[C@@H]1C=C[C@@H]3O[C@@H]1C[C@H](O)[C@@H]1CCC3=C(C1)C(CO)=CC(O)=C3OCC1=CC([C@@]34C5=C6C=CC=C5CC[C@@H]3COC3(CCCCC3)[C@@H]4CC6)=CC3=CN2C=C13,0.9436184167861938,1154.46,12.84,6,12,10,167.92,False,False,7
947,CNP0008171.1,C/C=C(\CCO)C(=O)O[C@]1(C)CC=C2CSS[C@@H]3C=C[C@@H](NC)[C@H]4CN(C(=O)CC5=CN=C(N)C=C5[C@H]2[C@]12CC1=CC5=C(C=C1O2)OC(=O)C=C5)[C@H]43,0.9435806274414062,742.92,4.48,3,12,5,157.22,False,False,3
948,CNP0095504.1,CC[C@H]1CC[C@@H]2[C@@H](C1)[C@H]1/C=C/C(=O)[C@]3(CC4=CC=C(O)C(OC)=C4)CCC[C@@H]3CC#C/N=C(/NC)NC3=CC(=CC4=C3OC#CC3(CCCCC3)[C@@H]3C[C@@](CNC)(C[C@H]3C[C@H](O)OC3CCCC3)O4)[C@@]13CCC[C@H]3[C@@H]2CCCO,0.943462610244751,1081.49,11.74,6,12,13,163.13,False,False,2
949,CNP0358178.2,CC[C@@H](C)[C@@H]1NC(=O)[C@@H](NC)CC2=CC(=CC=C2OC)/C=C/NC(=O)[C@@H]([C@@H](C)CC)NC1=O,0.9433773159980774,458.6,1.99,4,5,6,108.56,True,True,1
950,CNP0358178.1,CC[C@@H](C)[C@H]1NC(=O)[C@H](NC)CC2=CC(=CC=C2OC)/C=C\NC(=O)[C@H]([C@@H](C)CC)NC1=O,0.9433773159980774,458.6,1.99,4,5,6,108.56,True,True,1
951,CNP0090657.1,CCCC[C@@H]1CC[C@H]2CCC[C@]23C2=CC(O[C@]4(CNC)CC[C@@H](C[C@H](O)OC)C4)=C(O)C(=C2)N/C(NC)=N\CSSC[C@@H]2CCC[C@]2(CC2=CC=C(O)C(OC)=C2)C(=O)/C=C/[C@H]13,0.9433221220970154,893.27,9.35,6,13,13,153.9,False,False,2
952,CNP0560870.1,CCCC(=O)N[C@H](C(=O)N[C@H]1COC(=O)[C@@H]2CCCN2C(=O)[C@H](CC2=CC=C(O)C=C2)/N=C(\O)[C@H](CC(N)=O)/N=C(\O)C/N=C(\O)[C@H](CC(C)C)/N=C(\O)CC(=O)[C@@H](CC(C)C)/N=C(\O)[C@@H]2C[C@H](C)CN2C1=O)[C@@H](C)CC,0.94331693649292,1081.28,3.72,9,14,15,368.46,False,False,1
953,CNP0560870.2,CCCC(=O)N[C@H](C(=O)N[C@H]1COC(=O)[C@@H]2CCCN2C(=O)[C@H](CC2=CC=C(O)C=C2)/N=C(\O)[C@H](CC(N)=O)/N=C(\O)C/N=C(\O)[C@H](CC(C)C)/N=C(\O)CC(=O)[C@H](CC(C)C)/N=C(\O)[C@@H]2C[C@H](C)CN2C1=O)[C@@H](C)CC,0.94331693649292,1081.28,3.72,9,14,15,368.46,False,False,1
